trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9999984769132877}",20,0,-97.58840560345475,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9999939076577904}",25,0,-140.5203644107026,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9999862922474267}",25,0,-80.92817865081075,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9999756307053947}",25,12,-22.251506075820526,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.9999619230641713}",30,0,-106.59146098181547,"{0: 15, 1: 5, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.9999451693655121}",30,0,-284.9496468866821,"{0: 13, 1: 4, 2: 6, 3: 3, 4: 4}",0
7,False,"{'a': 0.8, 'e': 0.999925369660452}",20,0,-97.2851195912342,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9999025240093042}",30,0,-223.31515229661142,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.8, 'e': 0.9998766324816606}",20,0,-94.84077109769393,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.9998476951563913}",20,0,-151.8056798113202,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9998157121216442}",20,0,-53.08963154973331,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.9997806834748455}",25,5,-25.873618995595205,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.9997426093226983}",30,0,-187.63096080396357,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.9997014897811831}",25,0,-253.75803645868967,"{0: 10, 1: 1, 2: 8, 3: 3, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.9996573249755573}",20,0,-122.53595017058348,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.9996101150403544}",30,0,-150.34620543419084,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.999559860119384}",20,0,-99.71448344525504,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.9995065603657316}",20,0,-63.685377374456834,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.8, 'e': 0.9994502159417572}",20,0,-142.7777070709675,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.9993908270190958}",20,0,-139.1833582785349,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.9993283937786562}",30,0,-214.83542983085886,"{0: 16, 1: 7, 2: 2, 3: 1, 4: 4}",0
22,False,"{'a': 0.8, 'e': 0.9992629164106211}",25,0,-287.6548328752611,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 5}",0
